REF;ID Ticket AgID;Richiesta;Risposta;Note Integrative
329;n.a.;"Provando ad utilizzare l'API send_instance per l'invio verso Comunica, la chiamata ora viene accettata, ma riceviamo l'errore seguente:
{ \""type\"": \""https://govway.org/handling-errors/400/InteroperabilityInvalidRequest.html\"", \""title\"": \""InteroperabilityInvalidRequest\"", \""status\"": 400, \""detail\"": \""Received request is not conform to the required interoperability profile\"", \""govway_id\"": \""355fe7ff-03ef-11f0-a1d2-005056a2d0d3\"" }
Come prima risposta ci era stato detto che l'errore ottenuto è causato dalla validità del JWS (campo exp impostato a 24h, invece di pochi minuti).
Cambiando il campo exp però otteniamo due errori diversi. Allego 2 esempi completi.

----- ESEMPIO 1 : iat = time() ed exp dopo un minuto.
iat = time()
exp = iat + 60

Agid-JWT-Signature:
eyJ0eXAiOiJKV1QiLCJhbGciOiJSUzI1NiIsImtpZCI6IkljekZZNWVHNE1GdXUybFR6ZGN6eDBzUERVWno1SkN2dWhSeVh0UmFFUG8ifQ.eyJpc3MiOiI2NmNiYjdkOS00MGVlLTQ2NDItOGI0MC0yZmUwYzNlOGI5MjciLCJzdWIiOiI2NmNiYjdkOS00MGVlLTQ2NDItOGI0MC0yZmUwYzNlOGI5MjciLCJhdWQiOiJodHRwczovL3NlcnZpeml3ZWIuY2wuaW5mb2NhbWVyZS5pdC9tb2RpL3Jlc3QvaW4vaW5mb2NhbWVyZS9nZXN0aW9uZS1pc3RhbnphLWNvbXVuaWNhLXN1YXAvdjEiLCJpYXQiOjE3NDU4NDQzOTksImV4cCI6MTc0NTg0NDQ1OSwianRpIjoiYjY3ZTU5ZjBjODY0NGY0OGJkZjk2MWVjY2Q0OTU1NzIiLCJzaWduZWRfaGVhZGVycyI6W3siZGlnZXN0IjoiU0hBLTI1Nj1nRTBsQUtFQTZxWlVOZTBzSmQ2SHJ3K1M1cnQ0RUlEUzVmMVpsQSs5bjRRPSJ9LHsiY29udGVudC10eXBlIjoiYXBwbGljYXRpb24vanNvbiJ9XX0.C1F34TtiGlxjjLOhQ5eMZYuVcJvIGwsQ3M0JOCZ64kpbFi3CYozM4sJgJ1aJDMXMr5JDUh570u9LXv1Mk7T0IONfEKeAyLTvTS1nNqZdPm5B9E0zoEBYYqRCKrX_LSkjUdIwY2rG3EX9HChGn6u8joz__mrlCF2byFW1ISnStzIyW67XUF-gyREpLt2gbag_ctvdtq3soEzaO_sKpqQ4_DVub9V5x7WRmoElHVxj46OCq6vp55-gGQuvhK6VZSi7RIDnvFfXPQc4RYRQEQrAtuMkCU2WJehZUZBq0cnu1LEnG0DtSO5vYm8oKQGyzGt1xgouEtk3KAGTyHktZyR_gg

Risultato:
{
    ""code"": ""ERROR_400_001"",
    ""message"": ""Incorrect request input.""
}

CURL COMPLETO:
curl --location 'https://serviziweb.cl.infocamere.it/modi/rest/in/infocamere/gestione-istanza-comunica-suap/v1/send_instance' \
--header 'Content-Type: application/json' \
--header 'Digest: SHA-256=gE0lAKEA6qZUNe0sJd6Hrw+S5rt4EIDS5f1ZlA+9n4Q=' \
--header 'Agid-JWT-Signature: eyJ0eXAiOiJKV1QiLCJhbGciOiJSUzI1NiIsImtpZCI6IkljekZZNWVHNE1GdXUybFR6ZGN6eDBzUERVWno1SkN2dWhSeVh0UmFFUG8ifQ.eyJpc3MiOiI2NmNiYjdkOS00MGVlLTQ2NDItOGI0MC0yZmUwYzNlOGI5MjciLCJzdWIiOiI2NmNiYjdkOS00MGVlLTQ2NDItOGI0MC0yZmUwYzNlOGI5MjciLCJhdWQiOiJodHRwczovL3NlcnZpeml3ZWIuY2wuaW5mb2NhbWVyZS5pdC9tb2RpL3Jlc3QvaW4vaW5mb2NhbWVyZS9nZXN0aW9uZS1pc3RhbnphLWNvbXVuaWNhLXN1YXAvdjEiLCJpYXQiOjE3NDU4NDQ2MzMsImV4cCI6MTc0NTg0NDY5MywianRpIjoiZjRhNWY1ODY3OTFmYzEzNWQ5ODg3ZmNiN2M3ODc4MmYiLCJzaWduZWRfaGVhZGVycyI6W3siZGlnZXN0IjoiU0hBLTI1Nj1nRTBsQUtFQTZxWlVOZTBzSmQ2SHJ3K1M1cnQ0RUlEUzVmMVpsQSs5bjRRPSJ9LHsiY29udGVudC10eXBlIjoiYXBwbGljYXRpb24vanNvbiJ9XX0.lxhp1G2LQYNfXfag-7D3Hkc7DVFZ3QvcWW7EBBn9Nv5A6RV2Y3vHKJ2Mg5z8TFmNV2ik6GApfLQp8qPWNkdOpK8laSrQAvFr9X2w0JmfT0oPF6pfSUR6cFkiuJdUAWFO25nbatRAYteAPpKgKNfv4K4Bp_CnFSRL3bJhfc5enRY1kK-d-XMXc_pC8J_IHIanerH_NlMiMAmN8atC9oVRx00DsKTQZxQLyCMF5rQR_g5PY9y6TNDghSr_bv5kyKueUX6S5jkkDYWTeCTZS5vaWZvvB127_x9JPQr-UGz9UfzjPdSh1dW0MsrpNvoyCfT7tlUp28Fdsbh4gg2zKNX7cQ' \
--header 'Authorization: Bearer eyJhbGciOiJSUzI1NiIsInVzZSI6InNpZyIsInR5cCI6ImF0K2p3dCIsImtpZCI6ImNkYjUyNTMyLWRkOTQtNDBlZi04MjRkLTljNTViMTBlNmJjOSJ9.eyJqdGkiOiI2NDQ3YWRhZC1lYmYyLTQ5OTUtOTI4NC04ZDI4M2ZjNTc3ZDIiLCJpc3MiOiJ1YXQuaW50ZXJvcC5wYWdvcGEuaXQiLCJhdWQiOiJodHRwczovL3NlcnZpeml3ZWIuY2wuaW5mb2NhbWVyZS5pdC9tb2RpL3Jlc3QvaW4vaW5mb2NhbWVyZS9nZXN0aW9uZS1pc3RhbnphLWNvbXVuaWNhLXN1YXAvdjEiLCJjbGllbnRfaWQiOiI2NmNiYjdkOS00MGVlLTQ2NDItOGI0MC0yZmUwYzNlOGI5MjciLCJzdWIiOiI2NmNiYjdkOS00MGVlLTQ2NDItOGI0MC0yZmUwYzNlOGI5MjciLCJpYXQiOjE3NDU4NDM5NjEsIm5iZiI6MTc0NTg0Mzk2MSwiZXhwIjoxNzQ1OTMwMzYxLCJwdXJwb3NlSWQiOiJhOWNiNzliNy1mZTZiLTQyNDgtOGJmMC1kYTNmMmMzZTQ2NDcifQ.i5c2p3dJ6Cy_DyqTWu4KDot0Fb9_J4MajVdRCUqwAPguSVjacbYqscw-1ZlXbuqya2RBqhE3E-PACQbKWjv52TmDBcKEWvEpcY7-nfpgxtVuAuzFOG82AuRt4E-u_XcmFaYDTy-JMMRcC9xscANMq335tsWCvzl57coIaRCkTMfj9XAbJo31QrmeebUWqChKDSn46sQ0q6UN2hZw9jbupohheSMvtk0NpLbwuE8DwfSOP4DPu0FeKGSIyAe9SRsNLIR6ZiJ5mcteiDVbmv0pErl4WIlkp2ZboGw6-lYmr_hBCwuxGmlV47as8LCGIyM-tc_4ZbEZU301CplFsyW93w' \
--data '{""cui"":{""context"":""SUAP"",""data"":""2025-04-28"",""progressivo"":""1750"",""uuid"":""aff8666b-9b46-4628-a259-03235794b776""},""instance_descriptor_version"":0,""instance_index"":[{""code"":""USEC-0001321"",""ref"":""10325"",""resource_id"":""102006"",""hash"":""4cfcb886698b6e2352a9f7fc6029bb92ff2e575b372df28c23aafb5bbb9cdbbb"",""alg_hash"":""S256""},{""code"":""USEC-0001321"",""ref"":""10327"",""resource_id"":""102007"",""hash"":""572b71b66a010d521d2e069a0b986b41ee89f944f08bc76aef201190979064bd"",""alg_hash"":""S256""},{""code"":""USEC-0001321"",""ref"":""10328"",""resource_id"":""102008"",""hash"":""ce7f28a8d0a254d03273dcdf60f4d475620ea7d82b52ed97a5fb70009f1caf56"",""alg_hash"":""S256""},{""code"":""USEC-0001321"",""ref"":""10329"",""resource_id"":""102009"",""hash"":""ef1c09607bbd329fad9e7505d13078641e1e61e5199ee3048b20c3bb5548c349"",""alg_hash"":""S256""},{""code"":""USEC-0001321"",""ref"":""10330"",""resource_id"":""102010"",""hash"":""84cccd47562e59536e3f065cae810bad757319ccb24e97f8334cb4aad15cab54"",""alg_hash"":""S256""}],""general_index"":[{""name"":""SUAP_XML"",""resource_id"":""102686"",""mime_type"":""application/xml"",""hash"":""886b7f6d27b3df4dde9044a510bb1b15742915f2f77a560239720a8c5de7c1dd"",""alg_hash"":""S256""},{""name"":""SUAP_PDF"",""resource_id"":""102006"",""mime_type"":""application/pdf"",""hash"":""4cfcb886698b6e2352a9f7fc6029bb92ff2e575b372df28c23aafb5bbb9cdbbb"",""alg_hash"":""S256""}]}'

----- ESEMPIO 2 iat = time() nel passato ed exp dopo un minuto.

iat = time() - 1800
exp = iat + 60

Agid-JWT-Signature:
eyJ0eXAiOiJKV1QiLCJhbGciOiJSUzI1NiIsImtpZCI6IkljekZZNWVHNE1GdXUybFR6ZGN6eDBzUERVWno1SkN2dWhSeVh0UmFFUG8ifQ.eyJpc3MiOiI2NmNiYjdkOS00MGVlLTQ2NDItOGI0MC0yZmUwYzNlOGI5MjciLCJzdWIiOiI2NmNiYjdkOS00MGVlLTQ2NDItOGI0MC0yZmUwYzNlOGI5MjciLCJhdWQiOiJodHRwczovL3NlcnZpeml3ZWIuY2wuaW5mb2NhbWVyZS5pdC9tb2RpL3Jlc3QvaW4vaW5mb2NhbWVyZS9nZXN0aW9uZS1pc3RhbnphLWNvbXVuaWNhLXN1YXAvdjEiLCJpYXQiOjE3NDU4NDI2NDAsImV4cCI6MTc0NTg0MjcwMCwianRpIjoiYzRiMTQ2NDVlYmIwYWU4ZGM4NzRjODM4ZjVkODc0M2QiLCJzaWduZWRfaGVhZGVycyI6W3siZGlnZXN0IjoiU0hBLTI1Nj1nRTBsQUtFQTZxWlVOZTBzSmQ2SHJ3K1M1cnQ0RUlEUzVmMVpsQSs5bjRRPSJ9LHsiY29udGVudC10eXBlIjoiYXBwbGljYXRpb24vanNvbiJ9XX0.Zveu8ff2En-4Rxw5RYTww6KZXRzOVOiEGGdpqu-CnRbNXdkvX0QJ3fBoZ_L1Phe1k25VaADJZFVzBopn0vnjOap8UK7iQmI6RYOk0nz6lB_mdzAPDPDSdYtbhao9NwNpFKM7nBGYy5Unz1A14yZRKyp4tY8WhnxOQO8LAflHrG2OocpvGPSf8-74ZgRoLm33HSkCrRk2SfOBA7xZT8kOxmNatWXUNelGbP3avvBverIKOTrbBGsaYTTp0V6u4l5_SpaXxqlN7pIW6k8Baf5CPiS0j6eioEFGhZEjl_LxEgpWCxHNRJF0u9Ot_wCoU3QMqG3kVCxSy3J5SuhPqxnA-A

Risultato:
{
   ""type"": ""https://govway.org/handling-errors/400/InteroperabilityInvalidRequest.html"",
   ""title"": ""InteroperabilityInvalidRequest"",
    ""status"": 400,
    ""detail"": ""Received request is not conform to the required interoperability profile"",
    ""govway_id"": ""7e1205b9-2427-11f0-a59a-005056a2d0d3""
}

CURL COMPLETO:
curl --location 'https://serviziweb.cl.infocamere.it/modi/rest/in/infocamere/gestione-istanza-comunica-suap/v1/send_instance' \
--header 'Content-Type: application/json' \
--header 'Digest: SHA-256=gE0lAKEA6qZUNe0sJd6Hrw+S5rt4EIDS5f1ZlA+9n4Q=' \
--header 'Agid-JWT-Signature: eyJ0eXAiOiJKV1QiLCJhbGciOiJSUzI1NiIsImtpZCI6IkljekZZNWVHNE1GdXUybFR6ZGN6eDBzUERVWno1SkN2dWhSeVh0UmFFUG8ifQ.eyJpc3MiOiI2NmNiYjdkOS00MGVlLTQ2NDItOGI0MC0yZmUwYzNlOGI5MjciLCJzdWIiOiI2NmNiYjdkOS00MGVlLTQ2NDItOGI0MC0yZmUwYzNlOGI5MjciLCJhdWQiOiJodHRwczovL3NlcnZpeml3ZWIuY2wuaW5mb2NhbWVyZS5pdC9tb2RpL3Jlc3QvaW4vaW5mb2NhbWVyZS9nZXN0aW9uZS1pc3RhbnphLWNvbXVuaWNhLXN1YXAvdjEiLCJpYXQiOjE3NDU4NDI2NDAsImV4cCI6MTc0NTg0MjcwMCwianRpIjoiYzRiMTQ2NDVlYmIwYWU4ZGM4NzRjODM4ZjVkODc0M2QiLCJzaWduZWRfaGVhZGVycyI6W3siZGlnZXN0IjoiU0hBLTI1Nj1nRTBsQUtFQTZxWlVOZTBzSmQ2SHJ3K1M1cnQ0RUlEUzVmMVpsQSs5bjRRPSJ9LHsiY29udGVudC10eXBlIjoiYXBwbGljYXRpb24vanNvbiJ9XX0.Zveu8ff2En-4Rxw5RYTww6KZXRzOVOiEGGdpqu-CnRbNXdkvX0QJ3fBoZ_L1Phe1k25VaADJZFVzBopn0vnjOap8UK7iQmI6RYOk0nz6lB_mdzAPDPDSdYtbhao9NwNpFKM7nBGYy5Unz1A14yZRKyp4tY8WhnxOQO8LAflHrG2OocpvGPSf8-74ZgRoLm33HSkCrRk2SfOBA7xZT8kOxmNatWXUNelGbP3avvBverIKOTrbBGsaYTTp0V6u4l5_SpaXxqlN7pIW6k8Baf5CPiS0j6eioEFGhZEjl_LxEgpWCxHNRJF0u9Ot_wCoU3QMqG3kVCxSy3J5SuhPqxnA-A' \
--header 'Authorization: Bearer eyJhbGciOiJSUzI1NiIsInVzZSI6InNpZyIsInR5cCI6ImF0K2p3dCIsImtpZCI6ImNkYjUyNTMyLWRkOTQtNDBlZi04MjRkLTljNTViMTBlNmJjOSJ9.eyJqdGkiOiI2NDQ3YWRhZC1lYmYyLTQ5OTUtOTI4NC04ZDI4M2ZjNTc3ZDIiLCJpc3MiOiJ1YXQuaW50ZXJvcC5wYWdvcGEuaXQiLCJhdWQiOiJodHRwczovL3NlcnZpeml3ZWIuY2wuaW5mb2NhbWVyZS5pdC9tb2RpL3Jlc3QvaW4vaW5mb2NhbWVyZS9nZXN0aW9uZS1pc3RhbnphLWNvbXVuaWNhLXN1YXAvdjEiLCJjbGllbnRfaWQiOiI2NmNiYjdkOS00MGVlLTQ2NDItOGI0MC0yZmUwYzNlOGI5MjciLCJzdWIiOiI2NmNiYjdkOS00MGVlLTQ2NDItOGI0MC0yZmUwYzNlOGI5MjciLCJpYXQiOjE3NDU4NDM5NjEsIm5iZiI6MTc0NTg0Mzk2MSwiZXhwIjoxNzQ1OTMwMzYxLCJwdXJwb3NlSWQiOiJhOWNiNzliNy1mZTZiLTQyNDgtOGJmMC1kYTNmMmMzZTQ2NDcifQ.i5c2p3dJ6Cy_DyqTWu4KDot0Fb9_J4MajVdRCUqwAPguSVjacbYqscw-1ZlXbuqya2RBqhE3E-PACQbKWjv52TmDBcKEWvEpcY7-nfpgxtVuAuzFOG82AuRt4E-u_XcmFaYDTy-JMMRcC9xscANMq335tsWCvzl57coIaRCkTMfj9XAbJo31QrmeebUWqChKDSn46sQ0q6UN2hZw9jbupohheSMvtk0NpLbwuE8DwfSOP4DPu0FeKGSIyAe9SRsNLIR6ZiJ5mcteiDVbmv0pErl4WIlkp2ZboGw6-lYmr_hBCwuxGmlV47as8LCGIyM-tc_4ZbEZU301CplFsyW93w' \
--data '{""cui"":{""context"":""SUAP"",""data"":""2025-04-28"",""progressivo"":""1750"",""uuid"":""aff8666b-9b46-4628-a259-03235794b776""},""instance_descriptor_version"":0,""instance_index"":[{""code"":""USEC-0001321"",""ref"":""10325"",""resource_id"":""102006"",""hash"":""4cfcb886698b6e2352a9f7fc6029bb92ff2e575b372df28c23aafb5bbb9cdbbb"",""alg_hash"":""S256""},{""code"":""USEC-0001321"",""ref"":""10327"",""resource_id"":""102007"",""hash"":""572b71b66a010d521d2e069a0b986b41ee89f944f08bc76aef201190979064bd"",""alg_hash"":""S256""},{""code"":""USEC-0001321"",""ref"":""10328"",""resource_id"":""102008"",""hash"":""ce7f28a8d0a254d03273dcdf60f4d475620ea7d82b52ed97a5fb70009f1caf56"",""alg_hash"":""S256""},{""code"":""USEC-0001321"",""ref"":""10329"",""resource_id"":""102009"",""hash"":""ef1c09607bbd329fad9e7505d13078641e1e61e5199ee3048b20c3bb5548c349"",""alg_hash"":""S256""},{""code"":""USEC-0001321"",""ref"":""10330"",""resource_id"":""102010"",""hash"":""84cccd47562e59536e3f065cae810bad757319ccb24e97f8334cb4aad15cab54"",""alg_hash"":""S256""}],""general_index"":[{""name"":""SUAP_XML"",""resource_id"":""102686"",""mime_type"":""application/xml"",""hash"":""886b7f6d27b3df4dde9044a510bb1b15742915f2f77a560239720a8c5de7c1dd"",""alg_hash"":""S256""},{""name"":""SUAP_PDF"",""resource_id"":""102006"",""mime_type"":""application/pdf"",""hash"":""4cfcb886698b6e2352a9f7fc6029bb92ff2e575b372df28c23aafb5bbb9cdbbb"",""alg_hash"":""S256""}]}'

";"La segnalazione inviata riguarda la comunicazione verso il sistema ComUnica offerto e implementato da InfoCamere, pertanto, si invita a gestire tale richiesta direttamente coi loro referenti.
Gestita da Luigi ";n.a.
330;n.a.;"Volevo un chiarimento relativamente al flusso (semplificato dai messaggi di audit/ack) che interessa ET verso BO.


In qualità di ET, devo esporre un servizio come erogatore su PDND che implementa quanto previsto dallo yaml “Ente Terzo to BackOffice SUAP”
A fronte della ricezione di una istanza (CUI) da parte di un BO, devo eseguire le verifiche di integrità previste da PDND
Successivamente devo interrogare il catalogo SSU secondo le modalità previste dallo yaml “SUAP_CatalogoSSU to EnteTerzo SUAP”, e per fare questo devo aver configurato un servizio come fruitore su PDND e sottoscritto il servizio relativo al catalogo SSU.
Se al punto precedente tutto è andato a buon fine, ottengo un descrittore dell’istanza che mi permette di accedere ai documenti ad essa riferiti (istanza e allegati)
A questo punto io dovrei avere un client fruitore su PDND che si collega al BO proprietario dell’istanza per ottenere i file.

Se quanto sopra è corretto, come ET

Devo sottoscrivere su PDND (come fruitore) TUTTI i BO che potrebbero interessare il nostro ente
Oppure si sottoscrive solo il BO SUAP, che si occuperà di fare da hub per recuperare i documenti (utilizzando le informazioni presenti nel catalogo popolato post-accreditamento) ?
 
Nel secondo caso, dovrei fare una sola sottoscrizione su PDND (al BO Suap) , nel primo invece diventa molto impegnativo (dovrei fare N sottoscrizioni) e di contro, come erogatore, dovrei gestire le richieste di sottoscrizione per poter permettere ai BO di inoltrarci le pratiche.";Ogni Ente sulla PDND per integrarsi con le altre amministrazioni deve effettuare una richiesta di fruizione, per ogni componente interessata. Pertanto, se devo interoperare con N SUAP dovrò effettuare N richieste di fruizione. ;n.a.
331;n.a.;"Chiarimento su SBBT nel caso di componente integrata FO/BO:
nell'endpoint getValidationTestInstance() non ci è chiaro cosa comporti la valorizzazione dei campi tcomponent=FOBO e architetturaintegrata=true nella successiva esecuzione dei test, in quanto immaginiamo che comunque entrambe le singole componenti FO e BO dovranno essere testate.
Più in generale (domanda precedentemente posta sul canale Infocamere e attualmente senza risposta): nel caso di componente FO-BO integrata (come ammesso delle specifiche tecniche) è necessario comunque collaudare separatamente le componenti informatiche FO e BO separatamente oppure è previsto un caso specifico di collaudo?";La presente segnalazione deve essere risolta da InfoCamere in qualità di gestore della piattaforma per i Black Box Test.;n.a.
332;n.a.;"Gestione documenti allegati ai procedimenti:
nel campo attachments[] dell'oggetto InstanceDescriptor, non essendo previsti riferimenti alle codifiche esposte dal catalogo per gli allegati, possono essere inseriti anche allegati non previsti esplicitamente dal procedimento censito sul catalogo (es: delega/procura speciale del professionista alla presentazione della pratica o altro allegato libero) ?";"Nelle presenti Specifiche nel branch approved01 un attachment dell'InstanceDescriptor non è strettamente collegato ad uno mappato nel Catalogo. Si precisa però che tale problematica è stata gestita nel branch approved02 indicando gli attributi ""code"" e ""version"".";n.a.
333;n.a.;"Modalità di erogazione e fruizione su PDND degli e-service da parte di un fornitore privato:
nei precedenti incontri si era detto che si sarebbero potute pubblicare le erogazioni e richiedere le fruizioni tramite la sola PA sponsor e tutti gli altri enti avrebbero potuto usufruire dei servizi così pubblicati, ma dall'ultimo incontro tale situazione non è stata più così chiara, per cui chiediamo:
- un fornitore privato potrà erogare/fruire i servizi del sistema SSU tramite la PDND della sola PA sponsor, anche per tutte le altre PA sue clienti ?
- in tal caso, sarà necessario che le altre PA clienti usufruiscano del meccanismo delle deleghe previsto da PDND ?
- come si dovranno gestire casi specifici in cui per esempio la fruizione dell' e-service di un FO non è necessaria per la PA sponsor ma per un'altra PA cliente (es: FO di una Regione diversa da quella della PA sponsor) ?";Attualmente ogni PA deve effettuare autonomamente le richieste di fruizione e di erogazione per i servizi esposti su PDND. Per chiarire eventuali aggiornamenti ed evolutive in merito è necessario l'intervento di PagoPA in qualità di gestore della piattaforma.;n.a.
334;840f7509ae714131b0d430701418faa6;"si segnala che lo yaml pubblicato in https://github.com/AgID/specifiche-tecniche-DPR-160-2010/blob/approved01/openAPI/fo_to_bo.yaml presenta i seguenti errori
1) nella definizione dell'oggetto cui: l'attributo progressive è incoerente con la definizione delle properties e con la definizione riportata in cui-schema.json
2) nella definizione diell'oggetto RequestCorrectionRequest property ""correcion_requested"" vs"" correction_request""
Anche fo_to_cu, bo_to_et, bo_to_fo, bo_to_ri hanno lo stesso errore sulla definizione del cui";"La ringraziamo per la segnalazione e provvederemo a correggere l'errore di digitazione indicato nel punto 2. Si precisa invece che il punto 1 è già stato corretto nel branch mantainance02.

La  segnalazione è stata risolta durante un incontro dedicato, pertanto, viene chiusa direttamente con la presente risposta.";n.a.
335;24642cc9e51a404dbcbecd07eecde117;Si segnala sull'api send_instance di bo_to_fo per inviare le correzioni e le integrazioni che la specifica richiede di replicare informazioni già date in quanto i files del general Index non cambiano ma sono obbligatori da indicare. Si suggerisce di rivedere l'obbligatorietà in modo da non replicare contenuti già inviati.;"La ringraziamo per la segnalazione, verrà analizzata da un punto di vista tecnico per valutare l'effettiva necessità dell'obbligatorietà del GeneralIndex. 

La  segnalazione è stata risolta durante un incontro dedicato, pertanto, viene chiusa direttamente con la presente risposta.";n.a.
336;4fd868e4065440e5aaea3ee4ba1c38f2;Si chiede di chiarire lo scenario integrazione con ComUnica. Da dove parte il flusso? Secondo quale paradigma avviene la business delegation dal fo comunica al fo suap? A che serve il secretToken e come deve essere generato/gestito?;"Considerata la natura della tematica si invita a contattare direttamente il gestore di ComUnica: InfoCamere.
Si precisa comunque che il secret token serve per garantire l’identificazione del ComUnica quale sistema digitale che ha eseguito la redirect

La  segnalazione è stata risolta durante un incontro dedicato, pertanto, viene chiusa direttamente con la presente risposta.";n.a.
337;6592303414a8454c9a788a7450b72e77;"Il framework di digitalizzazione riportato nelle specifiche non spiega come è previsto di gestire le parti personalizzabili da Regioni e Comuni. Nelle versioni non entity oriented che risalgono a gruppi di lavoro datati era stato delineato un approccio sulla base di ""Abstract type"". E' così anche nel nuovo framework? Questi aspetti sono fortemente impattanti per chi gestisce e è responsabile nei confronti di Cittadini e Imprese della modulistica esposta.

nota. non abbiamo trovato un valore coerente per il campo ""intervento"" quindi il quesito posto non è sulla consultazione metadati.";"La segnalazione è stata gestita da InfoCamere rispondendo nel seguente modo:
""Verrà preservato l'utilizzo dell'abstract""

La  segnalazione è stata risolta durante un incontro dedicato, pertanto, viene chiusa direttamente con la presente risposta.";n.a.
338;e6d2c6623b484443b47e61cc6b87a667;VI chiediamo un chiarimento sull'istance descriptor. Ci sembra che nel caso di integrazioni o correzioni l'instance descriptor che ha il catalogossu possa non essere agggiornato. Per esempio per i file sostituiti in fase di correzione o integrazione l'hash (e forse anche il nome del file) cambia rispetto alla versione iniziale. Chi tiene allineato l'instance descriptor relativamente ai contenuti dell'istanza? Il catalogoSSU prevede di aggiornare anche i riferimenti ai contenuti?;"Sono in corso delle analisi di impatto per quanto riguarda l'integrazione e la conformazione dei documenti. Si precisa che attualmente non è possibile aggiornare l'InstanceDescriptor e l'integrazione può essere condotta come un aggiornamento di un documento già presentato modificando le metainformazioni trasportate mediante l'InstanceIndex.

La  segnalazione è stata risolta durante un incontro dedicato, pertanto, viene chiusa direttamente con la presente risposta.";n.a.
339;b524f1156fcb4b61a96429f90f763ce1;"
Nel sequence diagram autorizzativo, è previsto il blocco ""CdSS da SUAP"", in cui il SUAP di propria iniziativa (ovvero senza la richiesta da un Ente Terzo) convoca la conferenza di servizi.
Quale potrebbe essere il caso reale?

La convocazione è inoltrata a tutti gli Enti Terzi ma a questi non è mai stata inviata l'istanza.
E' corretto?";"La convocazione della conferenza dei servizi può essere indetta dal SUAP durante la sua fase di controllo delle istanze, dove constata immediatamente delle peculiarità che possono essere risolte prontamente durante la conferenza dei servizi. 
L'inoltro dei documenti verrà gestito nella convocazione o durante l'incontro stesso. Le Specifiche Tecniche non normano il flusso di gestione della conferenza dei servizi, pertanto, non sono presenti le operation per consentire l'inoltro documentale.

Qualora vi sia la necessità di ulteriori chiarimenti, la invitiamo a contattarci tramite il canale di messaggistica del ticket.
Le comunichiamo inoltre che, in assenza di ulteriori richieste, il presente ticket sarà chiuso automaticamente dal sistema entro 7 giorni lavorativi.";"Richiedente
riteniamo che così come implementato nelle specifiche il flusso non sia corretto o sia confusionario.
Se un endo-procedimento è di competenza di un Ente Terzo, l'istanza dovrebbe sempre essere mandata all'Ente di competenza. Questo, però, non si verificherebbe nel caso di convocazione di cds da parte del SUAP. Stando alle specifiche, in questo flusso, l'Ente Terzo potrebbe non ricevere mai l'istanza e, paradossalmente, il flusso sarebbe corretto. Inoltre, si va a complicare il flusso (non normato dalle specifiche) di gestione della conferenza di servizi in quanto:
Se la cds è richiesta da un Ente Terzo, il suap deve convocarla SENZA mandare l'istanza ai vari soggetti, dato che questa era già stata preventivamente inoltrata
Se la cds NON è richiesta da un Ente Terzo ma viene indetta spontaneamente dal SUAP, allora nel flusso stesso della cds bisognerebbe prevedere l'inoltro dell'istanza agli Enti Terzi, il condizionale è d'obbligo proprio perché non previsto dalle specifiche
Troviamo la cosa piuttosto contorta e, soprattutto, potrebbe portare alla situazione anomala di Enti Terzi che non ricevono istanze di propria competenza.
Si chiede, pertanto, se le nostre posizioni sono condivisibili o se ci sta sfuggendo qualcosa.
Qualora fossero condivise, si pensa di adeguare le specifiche?
Se si optasse per adeguare le specifiche, noi come dovremmo comportarci? Implementiamo adesso un flusso che sappiamo che verrà modificato a breve? Non stiamo parlando di piccoli dettagli.

Operatore
Si precisa che qualora sia un Ente Terzo a richiedere la conferenza, questo ha già ricevuto le istanze e la richiesta viene inviata durante le sue istrottorie. 
Differentemente, se il SUAP ritiene di convocare prontamente la conferenza di servizi può farlo prima dell'avvio delle istruttorie, coinvolgendo gli Enti Terzi che riceveranno le istanze e le modalità di recupero delle stesse durante la conferenza o nella sua convocazione. 
Il presente flusso implementato tiene conto delle analisi condotte durante i tavoli di lavoro che ha coinvolto un gruppo di esperti amministrativi oltre a quelli tecnici. Pertanto, le attuali Specifiche Tecniche sono basate su tali analisi amministrative pregresse. Eventuali aggiornamenti di tale ambito devono essere in caso gestite da un gruppo esperto in materia. Il supporto erogato dalla presente piattaforma invece è puramente tecnico e quindi limitato a chiarire eventuali dubbi o incomprensioni circa il flusso e la sua implementazione."
